0	30	314		1.140763021822977E-7
1	164	32		6.857176710894919E-7
2	165	162		1.47917698178901E-6
3	335	262		1.6527699013835218E-6
4	326	339		1.90746473727188E-6
5	101	299		3.391564369792377E-6
6	255	9		3.419948768623726E-6
7	310	152		3.757672772053411E-6
8	319	312		3.8914745417173435E-6
9	170	142		4.737469682325468E-6
10	161	69		5.278255210683369E-6
11	299	313		5.368287908424918E-6
12	225	329		5.657824084792651E-6
13	271	154		7.499023089607704E-6
14	187	77		7.594370197594458E-6
15	129	138		7.700245150843443E-6
16	187	276		8.504447691848327E-6
17	237	256		8.55123416521053E-6
18	120	261		8.994713114773845E-6
19	327	305		9.300350509278132E-6
20	246	180		9.829826471019487E-6
21	8	79		1.0888791351248983E-5
22	187	239		1.223188650278928E-5
23	145	107		1.300875485377162E-5
24	266	110		1.5443182896035523E-5
25	66	249		1.6841922098720374E-5
26	126	240		1.7591561457308558E-5
27	89	291		1.7725308582683397E-5
28	9	233		1.7863790326089202E-5
29	24	218		1.8240997428975447E-5
30	175	238		1.852261306822811E-5
31	219	311		1.916870690799044E-5
32	246	176		1.9213101575488167E-5
33	333	33		1.934940204151303E-5
34	130	139		1.9687494191344967E-5
35	127	64		2.0002755759307433E-5
36	231	338		2.038783709856773E-5
37	129	47		2.0392158287307893E-5
38	218	224		2.1774277270125708E-5
39	133	283		2.371756415620041E-5
40	333	217		2.3928782905358048E-5
41	132	282		2.3944840666700884E-5
42	282	237		2.4341470442834634E-5
43	67	142		2.4354093580924996E-5
44	261	94		2.4396768353085463E-5
45	111	74		2.463203051483731E-5
46	121	36		2.519091986208366E-5
47	129	66		2.5379610134379504E-5
48	256	0		2.718876546481397E-5
49	28	75		2.829300860085482E-5
50	88	143		2.9351481101613786E-5
51	155	76		2.957579261497756E-5
52	154	311		2.9893465224972715E-5
53	28	164		3.0180804968082953E-5
54	161	188		3.0487259705225256E-5
55	98	21		3.109810100099253E-5
56	145	291		3.1351056451356385E-5
57	261	288		3.135159262512843E-5
58	31	250		3.16799874653384E-5
59	260	272		3.2158428588502375E-5
60	96	116		3.312137790700831E-5
61	135	194		3.397273274075019E-5
62	244	263		3.4331326414616115E-5
63	244	347		3.4555437238736886E-5
64	181	102		3.4742859632785894E-5
65	310	94		3.475417417497795E-5
66	140	212		3.4952586664971363E-5
67	137	241		3.5061652036816326E-5
68	251	112		3.542113903343136E-5
69	327	51		3.7821879498523E-5
70	232	266		3.868297897824391E-5
71	174	32		3.913374704467287E-5
72	312	298		4.000882371890668E-5
73	78	140		4.016073180679314E-5
74	270	261		4.066805593438971E-5
75	135	24		4.266071963598961E-5
76	151	112		4.300199302598173E-5
77	64	134		4.364789099930988E-5
78	230	32		4.491826837416113E-5
79	86	137		4.780667003245753E-5
80	169	335		4.852356042661654E-5
81	84	153		4.877505085509881E-5
82	28	257		5.05136435791087E-5
83	305	289		5.05430463952905E-5
84	55	261		5.080442348770475E-5
85	57	204		5.323541999224801E-5
86	14	115		5.3686114405593344E-5
87	143	175		5.430424188901384E-5
88	133	305		5.440100593645525E-5
89	340	284		5.500332091479265E-5
90	259	83		5.551032153583435E-5
91	313	330		5.659911101218995E-5
92	100	4		5.6724681131825605E-5
93	279	29		5.9329047273237734E-5
94	146	109		5.9538561631100606E-5
95	332	221		5.991054583631694E-5
96	15	143		6.191868415861279E-5
97	128	256		6.254736672595129E-5
98	75	158		6.359979750136802E-5
99	235	222		6.425380877850273E-5
100	307	154		6.714548563024891E-5
101	211	39		6.741896103079625E-5
102	196	8		6.77564179358825E-5
103	32	320		6.99996850261897E-5
104	59	26		7.075414460544494E-5
105	229	218		7.112216793281334E-5
106	4	86		7.265492656216566E-5
107	184	33		7.266700675856441E-5
108	74	285		7.395860669845433E-5
109	97	32		7.398227724486617E-5
110	322	275		7.413642389231256E-5
111	163	147		7.481053165392382E-5
112	128	308		7.534719290802627E-5
113	19	275		7.597560357375244E-5
114	208	243		7.672899729804783E-5
115	130	301		7.693625745197608E-5
116	127	261		7.751164544522737E-5
117	299	93		7.823575777266001E-5
118	157	317		7.846848870762813E-5
119	47	69		7.900269564764528E-5
120	141	340		7.932248842124068E-5
121	181	94		7.973957913698371E-5
122	44	315		7.988654494006653E-5
123	260	62		8.028374621105172E-5
124	69	120		8.149599585927092E-5
125	117	49		8.245992582800454E-5
126	81	49		8.28025163901458E-5
127	156	246		8.436550359647299E-5
128	64	175		8.603239695759157E-5
